_id,code,valeur,date
692fb7f7021be5abe0a1e17f,AED,3.672502,2025-12-01T18:59:59
692fb7f7021be5abe0a1e180,AFN,66.386717,2025-12-01T18:59:59
692fb7f7021be5abe0a1e181,ALL,83.297617,2025-12-01T18:59:59
692fb7f7021be5abe0a1e182,AMD,381.190013,2025-12-01T18:59:59
692fb7f7021be5abe0a1e183,ANG,1.790055,2025-12-01T18:59:59
692fb7f7021be5abe0a1e184,AOA,917.000235,2025-12-01T18:59:59
692fb7f7021be5abe0a1e185,ARS,1451.275097,2025-12-01T18:59:59
692fb7f7021be5abe0a1e186,AUD,1.528585,2025-12-01T18:59:59
692fb7f7021be5abe0a1e187,AWG,1.8,2025-12-01T18:59:59
692fb7f7021be5abe0a1e188,AZN,1.706563,2025-12-01T18:59:59
692fb7f7021be5abe0a1e189,BAM,1.681338,2025-12-01T18:59:59
692fb7f7021be5abe0a1e18a,BBD,2.0174,2025-12-01T18:59:59
692fb7f7021be5abe0a1e18b,BDT,122.055638,2025-12-01T18:59:59
692fb7f7021be5abe0a1e18c,BGN,1.684745,2025-12-01T18:59:59
692fb7f7021be5abe0a1e18d,BHD,0.376973,2025-12-01T18:59:59
692fb7f7021be5abe0a1e18e,BIF,2952.731658,2025-12-01T18:59:59
692fb7f7021be5abe0a1e18f,BMD,1,2025-12-01T18:59:59
692fb7f7021be5abe0a1e190,BND,1.297155,2025-12-01T18:59:59
692fb7f7021be5abe0a1e191,BOB,6.932361,2025-12-01T18:59:59
692fb7f7021be5abe0a1e192,BRL,5.357302,2025-12-01T18:59:59
692fb7f7021be5abe0a1e193,BSD,1.001637,2025-12-01T18:59:59
692fb7f7021be5abe0a1e194,BTC,0.000011583781,2025-12-01T18:59:59
692fb7f7021be5abe0a1e195,BTN,89.676113,2025-12-01T18:59:59
692fb7f7021be5abe0a1e196,BWP,13.368076,2025-12-01T18:59:59
692fb7f7021be5abe0a1e197,BYN,2.906852,2025-12-01T18:59:59
692fb7f7021be5abe0a1e198,BYR,19600,2025-12-01T18:59:59
692fb7f7021be5abe0a1e199,BZD,2.014472,2025-12-01T18:59:59
692fb7f7021be5abe0a1e19a,CAD,1.400075,2025-12-01T18:59:59
692fb7f7021be5abe0a1e19b,CDF,2214.999994,2025-12-01T18:59:59
692fb7f7021be5abe0a1e19c,CHF,0.804797,2025-12-01T18:59:59
692fb7f7021be5abe0a1e19d,CLF,0.023701,2025-12-01T18:59:59
692fb7f7021be5abe0a1e19e,CLP,929.798435,2025-12-01T18:59:59
692fb7f7021be5abe0a1e19f,CNY,7.07175,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a0,CNH,7.072995,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a1,COP,3810.15,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a2,CRC,493.225259,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a3,CUC,1,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a4,CUP,26.5,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a5,CVE,95.374975,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a6,CZK,20.81098,2025-12-01T18:59:59
692fb7f7021be5abe0a1e1a7,DJF,178.361616,2025-12-01T18:59:59
